,,,,,,,,,,
,,,,,,,,,,
,,Bondi Wet Sox,,v,,Oxford United Boxes,Bondi Beach Pavilion,,,0
,,Downtown Druggies,,v,,Punters,Crack-Den Stadium,,,0
,,MacLaren's Dignoes,,v,,Newcastle United Gunners,Lillyfield Rectangle,,,0
,,CB Transport Truckers,,v,,Coal Miners,TWU Stadium,,,0
,,Coolangatta Cougars,,v,,Rocket Scientists,The Cage of Pain,,,0
,,The XIII,,v,,London Werewolves,Hell,,,0
,,,,,,,,,,0
,ROUND 15,,,,,,,,,0
,,Punters,,v,,CB Transport Truckers,TAB Stadium,,,0
,,Liddle Rams,,v,,Downtown Druggies,The Meadow,,,0
,,Oxford United Boxes,,v,,MacLaren's Dignoes,Fragile Stadium,,,0
,,Coal Miners,,v,,Bondi Wet Sox,Lithgow Stadium,,,0
,,Newcastle United Gunners,,v,,Coolangatta Cougars,The Armoury,,,0
,,London Werewolves,,v,,Miami Monsters,Full Moon Stadium,,,0
,,Rocket Scientists,,v,,The XIII,Elysium Fields,,,0
,,,,,,,,,,0
,ORIGIN II,,,,,,,,,0
,,,,,,,,,,0
,ROUND 16,,,,,,,,,0
,,Coal Miners,,v,,Punters,Lithgow Stadium,,,0
,,MacLaren's Dignoes,,v,,Bondi Wet Sox,Lillyfield Rectangle,,,0
,,CB Transport Truckers,,v,,Liddle Rams,TWU Stadium,,,0
,,Coolangatta Cougars,,v,,Oxford United Boxes,The Cage of Pain,,,0
,,Downtown Druggies,,v,,London Werewolves,Crack-Den Stadium,,,0
,,The XIII,,v,,Newcastle United Gunners,Hell,,,0
,,Miami Monsters,,v,,Rocket Scientists,Monster Arena,,,0
,,,,,,,,,,0
,ROUND 17,,,,,,,,,0
,,The XIII,,v,,Bondi Wet Sox,Hell,,,0
,,CB Transport Truckers,,v,,Rocket Scientists,TWU Stadium,,,0
,,Punters,,v,,London Werewolves,TAB Stadium,,,0
,,Downtown Druggies,,v,,Newcastle United Gunners,Crack-Den Stadium,,,0
,,Coolangatta Cougars,,v,,MacLaren's Dignoes,The Cage of Pain,,,0
,,Miami Monsters,,v,,Oxford United Boxes,Monster Arena,,,0
,,Coal Miners,,v,,Liddle Rams,Lithgow Stadium,,,0
,,,,,,,,,,0
,ORIGIN III,,,,,,,,,0
,,,,,,,,,,0
,ROUND 18,,,,,,,,,0
,,Newcastle United Gunners,,v,,CB Transport Truckers,The Armoury,,,0
,,London Werewolves,,v,,Liddle Rams,Full Moon Stadium,,,0
,,MacLaren's Dignoes,,v,,The XIII,Lillyfield Rectangle,,,0
,,Rocket Scientists,,v,,Punters,Elysium Fields,,,0
,,Bondi Wet Sox,,v,,Miami Monsters,Bondi Beach Pavilion,,,0
,,Coolangatta Cougars,,v,,Coal Miners,The Cage of Pain,,,0
,,Oxford United Boxes,,v,,Downtown Druggies,Fragile Stadium,,,0
,,,,,,,,,,0
,ROUND 19,,,,,,,,,0
,,Punters,,v,,Newcastle United Gunners,TAB Stadium,,,0
,,The XIII,,v,,Coolangatta Cougars,Hell,,,0
,,Liddle Rams,,v,,Rocket Scientists,The Meadow,,,0
2,,Miami Monsters,,v,,MacLaren's Dignoes,Monster Arena,,,0
,,Coal Miners,,v,,London Werewolves,Lithgow Stadium,,,0
,,Downtown Druggies,,v,,Bondi Wet Sox,Crack-Den Stadium,,,0
,,CB Transport Truckers,,v,,Oxford United Boxes,TWU Stadium,,,0
,,,,,,,,,,0
,ROUND 20,,,,,,,,,0
,,Downtown Druggies,,v,,MacLaren's Dignoes,Crack-Den Stadium,,,0
,,London Werewolves,,v,,Rocket Scientists,Full Moon Stadium,,,0
,,Miami Monsters,,v,,Coolangatta Cougars,Monster Arena,,,0
,,Liddle Rams,,v,,Newcastle United Gunners,The Meadow,,,0
,,Coal Miners,,v,,The XIII,Lithgow Stadium,,,0
,,Punters,,v,,Oxford United Boxes,TAB Stadium,,,0
,,CB Transport Truckers,,v,,Bondi Wet Sox,TWU Stadium,,,0
,,,,,,,,,,0
,ROUND 21,,,,,,,,,0
,,Downtown Druggies,,v,,The XIII,XRL Stadium,,,0
,,Rocket Scientists,,v,,Newcastle United Gunners,XRL Stadium,,,0
,,Coal Miners,,v,,Miami Monsters,XRL Stadium,,,0
,,London Werewolves,,v,,Oxford United Boxes,XRL Stadium,,,0
,,CB Transport Truckers,,v,,Coolangatta Cougars,XRL Stadium,,,0
,,Liddle Rams,,v,,Bondi Wet Sox,XRL Stadium,,,0
,,Punters,,v,,MacLaren's Dignoes,XRL Stadium,,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,MacLaren's Dignoes,,,,Lillyfield Rectangle,,,,
,,Liddle Rams,,,,The Meadow,,,,
,,Coolangatta Cougars,,,,The Cage of Pain,,,,
,,London Werewolves,,,,Full Moon Stadium,,,,
,,The XIII,,,,Hell,,,,
,,Rocket Scientists,,,,Elysium Fields,,,,
,,Downtown Druggies,,,,Crack-Den Stadium,,,,
,,Oxford United Boxes,,,,Fragile Stadium,,,,
,,Coal Miners,,,,Lithgow Stadium,,,,
,,Miami Monsters,,,,Monster Arena,,,,
,,CB Transport Truckers,,,,TWU Stadium,,,,
,,Newcastle United Gunners,,,,The Armoury,,,,
,,Bondi Wet Sox,,,,Bondi Beach Pavilion,,,,
,,Punters,,,,TAB Stadium,,,,
